LotNO,target,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43
468,133.86,6210,13800,8832,828000,41.01666664,8307.6,8818.2,168.36,1766.4,154.56,1269.6,89700,62.1,60.72,57.96,12696,13938,400.2,8280,6168.6,25116,924.6,0,138,0,-8280,103.5,36846,361.56,224.94,91.218,162.84,398.82,262.2,53.406,368,27140,2024,1150,0,1518,0,5244
469,133.86,6210,19320,8832,828000,40.82499995,8307.6,8832,171.12,1766.4,140.76,1255.8,96600,59.34,64.86,64.86,12696,13938,400.2,8280,6168.6,25116,924.6,0,138,0,-8280,103.5,36846,361.56,224.94,91.218,162.84,398.82,262.2,53.406,368,27140,2024,1150,0,1518,0,5244
470,133.86,6210,13800,8832,828000,41.01666664,8252.4,8583.6,173.88,1766.4,140.76,1255.8,96600,59.34,64.86,64.86,12696,13938,400.2,8280,6168.6,25116,924.6,0,138,0,-8280,103.5,36846,361.56,224.94,91.218,162.84,398.82,262.2,53.406,368,27140,2024,1150,0,1518,0,5244
471,135.24,6624,6900,7728,828000,40.15416664,8349,8901,168.36,1766.4,154.56,1269.6,89700,62.1,60.72,57.96,12696,13938,400.2,8280,6168.6,25116,924.6,0,138,0,-8280,104.88,37260,357.42,224.94,92.598,165.6,398.82,256.68,52.992,460,27600,2024,1104,0,1472,0,4922
472,132.48,6624,12420,7590,828000,42.74166664,8307.6,9149.4,169.74,1766.4,154.56,1269.6,89700,62.1,60.72,57.96,12696,13938,400.2,8280,6168.6,25116,924.6,0,138,0,-8280,104.88,37260,357.42,224.94,92.598,165.6,398.82,256.68,52.992,460,27600,2024,1104,0,1472,0,4922
473,133.86,6624,13800,7728,828000,41.68749995,8418,8832,171.12,1766.4,154.56,1269.6,89700,62.1,60.72,57.96,12696,13938,400.2,8280,6154.8,24564,924.6,0,138,0,-8280,104.88,37260,357.42,224.94,92.598,165.6,398.82,256.68,52.992,460,27600,2024,1104,0,1472,0,4922
474,135.24,6624,9660,7728,828000,41.11250005,8266.2,9080.4,178.02,1752.6,162.84,1269.6,82800,41.4,41.4,38.64,12696,13938,400.2,8280,6154.8,24564,924.6,0,138,0,-8280,104.88,37260,357.42,224.94,92.598,165.6,398.82,256.68,52.992,460,27600,2024,1104,0,1472,0,4922
475,135.24,6624,4140,7728,828000,40.92083336,8307.6,8832,171.12,1752.6,162.84,1269.6,82800,41.4,41.4,38.64,12696,13938,400.2,8280,6154.8,24564,924.6,0,138,0,-8280,104.88,37260,357.42,224.94,92.598,165.6,398.82,256.68,52.992,460,27600,2024,1104,0,1472,0,4922
476,133.86,6210,11040,8832,828000,40.5375,8349,8845.8,176.64,1752.6,162.84,1269.6,82800,41.4,41.4,38.64,12696,13938,400.2,8280,6154.8,24564,924.6,0,138,0,-8280,106.26,34914,360.18,223.56,91.494,162.84,393.3,255.3,54.786,1012,28520,2116,1242,0,1518,0,4876
477,135.24,6210,8280,8832,828000,40.92083336,8252.4,8694,179.4,1752.6,162.84,1269.6,82800,41.4,41.4,38.64,12696,13938,400.2,8280,6182.4,26082,924.6,0,138,0,-8280,106.26,34914,360.18,223.56,91.494,162.84,393.3,255.3,54.786,1012,28520,2116,1242,0,1518,0,4876
478,131.1,6624,9660,8280,814200,41.78333336,8556,9066.6,138,1725,138,1269.6,82800,59.34,53.82,59.34,12696,13938,400.2,8280,6154.8,24564,924.6,0,138,0,-8280,107.64,36294,358.8,223.56,92.46,164.22,391.92,251.16,52.854,736,28980,2070,1242,0,1518,0,4922
479,132.48,6624,9660,8280,814200,42.07083332,8556,8749.2,138,1725,138,1269.6,82800,59.34,53.82,59.34,12696,13938,400.2,8280,6154.8,24564,924.6,0,138,0,-8280,107.64,36294,358.8,223.56,92.46,164.22,391.92,251.16,52.854,736,28980,2070,1242,0,1518,0,4922
480,132.48,6624,9660,8280,814200,41.49583327,8556,9052.8,138,1794,161.46,1269.6,82800,55.2,60.72,52.44,12696,13938,400.2,8280,6154.8,24564,924.6,0,138,0,-8280,107.64,36294,358.8,223.56,92.46,164.22,391.92,251.16,52.854,736,28980,2070,1242,0,1518,0,4922
481,133.86,6624,10350,8280,814200,42.16666673,8556,8804.4,138,1794,161.46,1269.6,82800,55.2,60.72,52.44,12696,13938,400.2,8280,6154.8,24564,924.6,0,138,0,-8280,107.64,36294,358.8,223.56,92.46,164.22,391.92,251.16,52.854,736,28980,2070,1242,0,1518,0,4922
482,135.24,6210,10350,8832,828000,41.20833332,8293.8,8804.4,165.6,1752.6,162.84,1269.6,82800,41.4,41.4,38.64,12696,13938,400.2,8280,6182.4,26082,924.6,0,138,0,-8280,106.26,34500,361.56,223.56,91.632,162.84,394.68,256.68,53.268,460,27600,2208,1242,0,1518,0,4784
483,132.48,6210,8280,8832,828000,40.92083336,8349,8487,168.36,1752.6,162.84,1269.6,82800,41.4,41.4,38.64,12696,13938,400.2,8280,6182.4,26082,924.6,0,138,0,-8280,106.26,34500,361.56,223.56,91.632,162.84,394.68,256.68,53.268,460,27600,2208,1242,0,1518,0,4784
484,132.48,6210,11040,8832,828000,41.30416673,8376.6,8707.8,166.98,1752.6,162.84,1269.6,82800,41.4,41.4,38.64,12696,13938,400.2,8280,6182.4,26082,924.6,0,138,0,-8280,106.26,34500,361.56,223.56,91.632,162.84,394.68,256.68,53.268,460,27600,2208,1242,0,1518,0,4784
485,131.1,6210,8280,8832,828000,41.87916664,8376.6,8431.8,171.12,1752.6,162.84,1269.6,82800,41.4,41.4,38.64,12696,13938,400.2,8280,6182.4,26082,924.6,0,138,0,-8280,106.26,34500,361.56,223.56,91.632,162.84,394.68,256.68,53.268,460,27600,2208,1242,0,1518,0,4784
486,133.86,6210,11730,9108,814200,41.4,8556,8804.4,138,1794,161.46,1269.6,82800,55.2,60.72,52.44,12696,13938,400.2,8280,6154.8,24564,924.6,0,138,0,-8142,106.26,34914,368.46,223.56,91.908,160.08,393.3,260.82,54.51,552,28060,2162,1196,0,1518,0,4554
487,131.1,6210,13800,9108,814200,42.2625,8556,8638.8,138,1794,161.46,1269.6,82800,55.2,60.72,52.44,12696,13938,400.2,8280,6182.4,26082,924.6,0,138,0,-8142,106.26,34914,368.46,223.56,91.908,160.08,393.3,260.82,54.51,552,28060,2162,1196,0,1518,0,4554
488,131.1,6210,13110,9108,814200,42.45416668,8556,8790.6,138,1794,161.46,1269.6,82800,55.2,60.72,52.44,12696,13938,400.2,8280,6182.4,26082,924.6,0,138,0,-8142,106.26,34914,368.46,223.56,91.908,160.08,393.3,260.82,54.51,552,28060,2162,1196,0,1518,0,4554
489,129.72,6210,13800,9108,814200,42.2625,8556,8542.2,138,1794,161.46,1269.6,82800,55.2,60.72,52.44,12696,13938,400.2,8280,6182.4,26082,924.6,0,138,0,-8142,106.26,34914,368.46,223.56,91.908,160.08,393.3,260.82,54.51,552,28060,2162,1196,0,1518,0,4554
490,129.72,6210,13800,9108,814200,42.35833327,8556,8735.4,138,1794,161.46,1269.6,82800,55.2,60.72,52.44,12696,13938,400.2,8280,6182.4,26082,924.6,0,138,0,-8142,106.26,34914,368.46,223.56,91.908,160.08,393.3,260.82,54.51,552,28060,2162,1196,0,1518,0,4554
491,128.34,6210,13800,9108,814200,42.64583336,8418,8390.4,138,1794,161.46,1269.6,82800,55.2,60.72,52.44,12696,13938,400.2,8280,6182.4,26082,924.6,0,138,0,-8280,107.64,33534,368.46,223.56,92.598,157.32,396.06,264.96,54.096,276,28060,2162,1150,0,1518,0,4278
492,129.72,6210,8280,8832,828000,40.44166673,8224.8,8431.8,161.46,1725,110.4,1269.6,103500,89.7,89.7,92.46,12696,13938,400.2,8280,6182.4,26082,924.6,0,138,0,-8280,106.26,34914,360.18,223.56,91.494,162.84,393.3,255.3,54.786,1012,28520,2116,1242,0,1518,0,4876
493,132.48,6210,9660,8832,828000,40.72916668,8293.8,8721.6,169.74,1738.8,114.54,1269.6,96600,82.8,84.18,82.8,12696,13938,400.2,8280,6182.4,26082,924.6,0,138,0,-8280,106.26,34914,360.18,223.56,91.494,162.84,393.3,255.3,54.786,1012,28520,2116,1242,0,1518,0,4876
494,131.1,6210,8280,8832,828000,40.63333327,8252.4,8431.8,154.56,1738.8,114.54,1269.6,96600,82.8,84.18,82.8,12696,13938,400.2,8280,6182.4,26082,924.6,0,138,0,-8280,106.26,34914,360.18,223.56,91.494,162.84,393.3,255.3,54.786,1012,28520,2116,1242,0,1518,0,4876
495,133.86,6624,12420,7728,828000,41.4,8293.8,9011.4,161.46,1738.8,114.54,1269.6,96600,82.8,84.18,82.8,12696,13938,400.2,8280,6182.4,26082,924.6,0,138,0,-7866,103.5,36846,357.42,224.94,93.012,158.7,396.06,263.58,53.13,920,28980,2484,1196,0,1380,0,4968
496,133.86,6624,11040,7728,828000,41.4,8224.8,8818.2,155.94,1738.8,114.54,1269.6,96600,82.8,84.18,82.8,12696,13938,400.2,8280,6182.4,26082,924.6,0,138,0,-7866,103.5,36846,357.42,224.94,93.012,158.7,396.06,263.58,53.13,920,28980,2484,1196,0,1380,0,4968
497,132.48,6624,13800,7728,828000,41.30416673,8404.2,8997.6,161.46,1738.8,114.54,1269.6,96600,82.8,84.18,82.8,12696,13938,400.2,8280,6182.4,26082,924.6,0,138,0,-7866,103.5,36846,357.42,224.94,93.012,158.7,396.06,263.58,53.13,920,28980,2484,1196,0,1380,0,4968
498,132.48,6624,8280,7728,828000,41.30416673,8280,8680.2,150.42,1738.8,114.54,1269.6,96600,82.8,84.18,82.8,12696,13938,400.2,8280,6182.4,26082,924.6,0,138,0,-7866,103.5,36846,357.42,224.94,93.012,158.7,396.06,263.58,53.13,920,28980,2484,1196,0,1380,0,4968
499,133.86,6624,13800,7728,828000,41.49583327,8252.4,9011.4,155.94,1738.8,114.54,1269.6,96600,82.8,84.18,82.8,12696,13938,400.2,8280,6182.4,26082,924.6,0,138,0,-7866,103.5,36846,357.42,224.94,93.012,158.7,396.06,263.58,53.13,920,28980,2484,1196,0,1380,0,4968
500,132.48,6624,8280,7728,828000,41.49583327,8362.8,8832,161.46,1738.8,114.54,1269.6,96600,82.8,84.18,82.8,12696,13938,400.2,8280,6154.8,25116,924.6,0,138,0,-7866,104.88,36846,360.18,224.94,92.46,155.94,394.68,266.34,53.268,460,28980,2346,1150,0,1472,0,4232
501,135.24,6624,16560,7728,828000,41.01666664,8252.4,9025.2,165.6,1738.8,114.54,1269.6,96600,82.8,84.18,82.8,12696,13938,400.2,8280,6154.8,25116,924.6,0,138,0,-7866,104.88,36846,360.18,224.94,92.46,155.94,394.68,266.34,53.268,460,28980,2346,1150,0,1472,0,4232
502,136.62,6624,9660,7728,828000,41.30416673,8349,8901,165.6,1738.8,114.54,1269.6,96600,82.8,84.18,82.8,12696,13938,400.2,8280,6154.8,25116,924.6,0,138,0,-7866,104.88,36846,360.18,224.94,92.46,155.94,394.68,266.34,53.268,460,28980,2346,1150,0,1472,0,4232
