LotNO,target,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43
1,138,6210,8970,10074,814200,39.57916673,8556,8569.8,151.8,1697.4,102.12,1283.4,103500,66.24,64.86,66.24,12696,14490,400.2,5520,6168.6,26082,924.6,0,138,0,-7590,111.78,37260,371.22,223.56,88.596,153.18,378.12,262.2,56.442,1012,27600,2208,966,0,1242,0,3220
2,136.62,6210,8280,10074,814200,39.675,8556,8266.2,151.8,1697.4,102.12,1283.4,103500,66.24,64.86,66.24,12696,14490,400.2,5520,6168.6,26082,924.6,0,138,0,-7590,111.78,37260,371.22,223.56,88.596,153.18,378.12,262.2,56.442,1012,27600,2208,966,0,1242,0,3220
3,136.62,6210,8970,9936,814200,40.25000005,8556,8473.2,151.8,1697.4,102.12,1283.4,103500,66.24,64.86,66.24,12696,14490,400.2,5520,6154.8,25806,924.6,0,138,0,-7590,111.78,37260,371.22,223.56,88.596,153.18,378.12,262.2,56.442,1012,27600,2208,966,0,1242,0,3220
4,136.62,6210,11040,9936,814200,39.86666668,8556,8280,151.8,1697.4,102.12,1283.4,103500,66.24,64.86,66.24,12696,14490,400.2,5520,6154.8,25806,924.6,0,138,0,-7590,111.78,37260,371.22,223.56,88.596,153.18,378.12,262.2,56.442,1012,27600,2208,966,0,1242,0,3220
5,136.62,6210,9660,9936,814200,40.34583332,8418,8500.8,151.8,1697.4,102.12,1283.4,103500,66.24,64.86,66.24,12696,14490,400.2,5520,6154.8,25806,924.6,0,138,0,-7590,111.78,37260,371.22,223.56,88.596,153.18,378.12,262.2,56.442,1012,27600,2208,966,0,1242,0,3220
6,139.38,6210,9660,9936,814200,40.5375,8418,8266.2,138,1697.4,102.12,1283.4,103500,66.24,64.86,66.24,12696,14490,400.2,5520,6154.8,25806,924.6,0,138,0,-7590,110.4,38226,375.36,223.56,89.7,153.18,376.74,258.06,54.786,1288,27600,2254,1104,0,1334,0,3680
7,138,6210,12420,9936,814200,40.63333327,8418,8556,151.8,1697.4,102.12,1283.4,103500,66.24,64.86,66.24,12696,14490,400.2,5520,6154.8,25806,924.6,0,138,0,-7590,110.4,38226,375.36,223.56,89.7,153.18,376.74,258.06,54.786,1288,27600,2254,1104,0,1334,0,3680
8,136.62,6210,8280,9936,814200,40.44166673,8418,8349,138,1697.4,102.12,1283.4,103500,66.24,64.86,66.24,12696,14490,400.2,5520,6154.8,25806,924.6,0,138,0,-7590,110.4,38226,375.36,223.56,89.7,153.18,376.74,258.06,54.786,1288,27600,2254,1104,0,1334,0,3680
9,135.24,6624,8280,7452,814200,40.15416664,7576.2,8983.8,197.34,1752.6,85.56,1269.6,96600,53.82,57.96,49.68,12696,14490,400.2,5520,6168.6,26082,924.6,0,138,0,-7590,110.4,39606,378.12,223.56,87.906,149.04,362.94,253.92,55.338,276,26680,2254,966,0,1334,0,3312
10,136.62,6624,11040,7452,814200,40.34583332,6900,9094.2,186.3,1752.6,85.56,1269.6,96600,53.82,57.96,49.68,12696,14490,400.2,5520,6168.6,26082,924.6,0,138,0,-7590,110.4,39606,378.12,223.56,87.906,149.04,362.94,253.92,55.338,276,26680,2254,966,0,1334,0,3312
11,136.62,6624,8280,7452,814200,40.5375,6886.2,8914.8,184.92,1752.6,102.12,1200.6,103500,63.48,60.72,60.72,12696,14490,400.2,5520,6168.6,26082,924.6,0,138,0,-7590,110.4,39606,378.12,223.56,87.906,149.04,362.94,253.92,55.338,276,26680,2254,966,0,1334,0,3312
12,136.62,6624,11040,7452,814200,40.34583332,6624,9080.4,189.06,1752.6,102.12,1200.6,103500,63.48,60.72,60.72,12696,14490,400.2,5520,6168.6,26082,924.6,0,138,0,-7590,110.4,39606,378.12,223.56,87.906,149.04,362.94,253.92,55.338,276,26680,2254,966,0,1334,0,3312
13,136.62,6624,11040,7452,814200,40.72916668,6665.4,8873.4,182.16,1752.6,102.12,1200.6,103500,63.48,60.72,60.72,12696,14490,400.2,5520,6168.6,26082,924.6,0,138,0,-7590,110.4,39606,378.12,223.56,87.906,149.04,362.94,253.92,55.338,276,26680,2254,966,0,1334,0,3312
14,135.24,6210,20700,8280,814200,40.92083336,7603.8,9011.4,180.78,1752.6,102.12,1200.6,103500,63.48,60.72,60.72,12696,14490,400.2,5520,6168.6,26082,924.6,0,138,0,-7590,110.4,37260,369.84,223.56,87.492,149.04,373.98,264.96,55.89,1196,27600,2208,966,0,1242,0,3266
15,135.24,6210,13110,8280,814200,41.68749995,7645.2,8749.2,182.16,1752.6,102.12,1200.6,103500,63.48,60.72,60.72,12696,14490,400.2,5520,6168.6,26082,924.6,0,138,0,-7590,110.4,37260,369.84,223.56,87.492,149.04,373.98,264.96,55.89,1196,27600,2208,966,0,1242,0,3266
16,138,6210,18630,8280,814200,41.01666664,7603.8,8845.8,178.02,1752.6,102.12,1200.6,103500,63.48,60.72,60.72,12696,14490,400.2,5520,6168.6,26082,924.6,0,138,0,-7590,110.4,37260,369.84,223.56,87.492,149.04,373.98,264.96,55.89,1196,27600,2208,966,0,1242,0,3266
17,135.24,6210,9660,8280,814200,6133727.592,7672.8,8818.2,179.4,1752.6,102.12,1200.6,103500,63.48,60.72,60.72,12696,14490,400.2,5520,6154.8,25806,924.6,0,138,0,-7590,110.4,37260,367.08,224.94,88.596,151.8,378.12,263.58,56.58,552,28520,2116,966,0,1242,0,3220
18,135.24,6210,10350,8280,814200,41.68749995,7548.6,8763,175.26,1752.6,102.12,1200.6,103500,63.48,60.72,60.72,12696,14490,400.2,5520,6154.8,25806,924.6,0,138,0,-7590,110.4,37260,367.08,224.94,88.596,151.8,378.12,263.58,56.58,552,28520,2116,966,0,1242,0,3220
19,136.62,6210,12420,8280,814200,41.01666664,7617.6,8887.2,176.64,1752.6,102.12,1200.6,103500,63.48,60.72,60.72,12696,14490,400.2,5520,6154.8,25806,924.6,0,138,0,-7590,110.4,37260,367.08,224.94,88.596,151.8,378.12,263.58,56.58,552,28520,2116,966,0,1242,0,3220
20,135.24,6210,8970,8280,814200,41.68749995,7548.6,8694,172.5,1752.6,102.12,1200.6,103500,63.48,60.72,60.72,12696,14490,400.2,5520,6154.8,25806,924.6,0,138,0,-7590,110.4,37260,367.08,224.94,88.596,151.8,378.12,263.58,56.58,552,28520,2116,966,0,1242,0,3220
21,136.62,6210,13110,8280,814200,40.92083336,7576.2,8859.6,175.26,1752.6,102.12,1200.6,103500,63.48,60.72,60.72,12696,14490,400.2,5520,6154.8,25806,924.6,0,138,0,-7590,110.4,37260,367.08,224.94,88.596,151.8,378.12,263.58,56.58,552,28520,2116,966,0,1242,0,3220
22,138,7038,11040,6900,814200,39.09999995,6403.2,8970,172.5,1780.2,78.66,1200.6,110400,60.72,57.96,62.1,12696,14490,400.2,5520,6154.8,25806,924.6,0,138,0,-7590,113.16,39054,365.7,223.56,90.804,157.32,379.5,252.54,53.544,460,27600,2346,966,0,1150,0,4048
23,136.62,6210,9660,9798,814200,40.72916668,8556,8611.2,138,1766.4,84.18,1255.8,75900,45.54,44.16,51.06,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,110.4,38226,375.36,223.56,89.7,153.18,376.74,258.06,54.786,1288,27600,2254,1104,0,1334,0,3680
24,135.24,6210,9660,9798,814200,41.30416673,8418,8224.8,138,1766.4,84.18,1255.8,75900,45.54,44.16,51.06,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,110.4,38226,375.36,223.56,89.7,153.18,376.74,258.06,54.786,1288,27600,2254,1104,0,1334,0,3680
25,135.24,7038,11040,8004,814200,39.96249995,8280,8914.8,138,1766.4,84.18,1255.8,75900,45.54,44.16,51.06,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,104.88,38226,361.56,223.56,90.666,157.32,375.36,251.16,53.268,1012,26680,2392,920,0,1794,0,3680
26,135.24,7038,8280,8004,814200,40.44166673,7866,8694,138,1766.4,84.18,1255.8,75900,45.54,44.16,51.06,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,104.88,38226,361.56,223.56,90.666,157.32,375.36,251.16,53.268,1012,26680,2392,920,0,1794,0,3680
27,136.62,7038,11040,8004,814200,40.15416664,7866,8997.6,138,1766.4,84.18,1255.8,75900,45.54,44.16,51.06,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,104.88,38226,361.56,223.56,90.666,157.32,375.36,251.16,53.268,1012,26680,2392,920,0,1794,0,3680
28,136.62,7038,8280,8004,814200,40.05833336,7866,8666.4,138,1766.4,84.18,1255.8,75900,45.54,44.16,51.06,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,104.88,38226,361.56,223.56,90.666,157.32,375.36,251.16,53.268,1012,26680,2392,920,0,1794,0,3680
29,135.24,6210,8280,8280,814200,41.78333336,7631.4,8818.2,189.06,1669.8,121.44,1283.4,117300,73.14,73.14,73.14,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,110.4,37260,369.84,223.56,87.492,149.04,373.98,264.96,55.89,1196,27600,2208,966,0,1242,0,3266
30,132.48,6210,8280,8280,814200,42.2625,9135.6,8542.2,184.92,1669.8,121.44,1283.4,117300,73.14,73.14,73.14,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,110.4,37260,369.84,223.56,87.492,149.04,373.98,264.96,55.89,1196,27600,2208,966,0,1242,0,3266
31,135.24,7038,8280,6624,814200,41.11250005,6210,9094.2,189.06,1669.8,121.44,1283.4,117300,73.14,73.14,73.14,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,107.64,37674,367.08,223.56,91.77,160.08,382.26,251.16,52.992,1380,26680,2484,828,0,1748,0,3772
32,133.86,7038,8280,6624,814200,41.01666664,6210,8763,186.3,1669.8,121.44,1283.4,117300,73.14,73.14,73.14,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,107.64,37674,367.08,223.56,91.77,160.08,382.26,251.16,52.992,1380,26680,2484,828,0,1748,0,3772
33,135.24,7038,11040,6486,814200,41.20833332,6306.6,9039,189.06,1683.6,96.6,1255.8,75900,48.3,49.68,46.92,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,107.64,37674,367.08,223.56,91.77,160.08,382.26,251.16,52.992,1380,26680,2484,828,0,1748,0,3772
34,136.62,7038,8280,7866,814200,40.72916668,8280,9080.4,138,1725,86.94,1283.4,75900,59.34,56.58,51.06,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,104.88,38226,361.56,223.56,90.666,157.32,375.36,251.16,53.268,1012,26680,2392,920,0,1794,0,3680
35,135.24,7038,9660,7866,814200,40.92083336,7728,8776.8,138,1725,86.94,1283.4,75900,59.34,56.58,51.06,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,104.88,38226,357.42,224.94,90.528,157.32,373.98,248.4,54.51,828,28520,2484,966,0,1978,0,3634
36,136.62,7038,8280,7866,814200,40.82499995,7452,8914.8,138,1725,86.94,1283.4,75900,59.34,56.58,51.06,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,104.88,38226,357.42,224.94,90.528,157.32,373.98,248.4,54.51,828,28520,2484,966,0,1978,0,3634
37,138,7038,8280,7866,814200,40.63333327,7176,8680.2,138,1725,86.94,1283.4,75900,59.34,56.58,51.06,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,104.88,38226,357.42,224.94,90.528,157.32,373.98,248.4,54.51,828,28520,2484,966,0,1978,0,3634
38,136.62,7038,8280,7866,814200,40.15416664,7452,8873.4,138,1725,86.94,1283.4,75900,59.34,56.58,51.06,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,104.88,38226,357.42,224.94,90.528,157.32,373.98,248.4,54.51,828,28520,2484,966,0,1978,0,3634
39,138,7038,8280,7866,814200,40.5375,7176,8707.8,138,1725,86.94,1283.4,75900,59.34,56.58,51.06,12696,14490,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,104.88,38226,357.42,224.94,90.528,157.32,373.98,248.4,54.51,828,28520,2484,966,0,1978,0,3634
40,135.24,7038,10350,7866,814200,40.63333327,7452,8956.2,138,1725,86.94,1283.4,75900,59.34,56.58,51.06,12696,14490,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,104.88,39054,351.9,224.94,91.494,160.08,379.5,248.4,54.51,460,27600,2484,966,0,1932,0,3404
41,136.62,7038,7590,7866,814200,40.34583332,7452,8652.6,138,1725,86.94,1283.4,75900,59.34,56.58,51.06,12696,14490,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,104.88,39054,351.9,224.94,91.494,160.08,379.5,248.4,54.51,460,27600,2484,966,0,1932,0,3404
42,138,7038,10350,7866,814200,40.63333327,7452,8956.2,138,1725,86.94,1283.4,75900,59.34,56.58,51.06,12696,14490,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,104.88,39054,351.9,224.94,91.494,160.08,379.5,248.4,54.51,460,27600,2484,966,0,1932,0,3404
43,136.62,7038,8280,7866,814200,40.5375,7176,8694,138,1725,86.94,1283.4,75900,59.34,56.58,51.06,12696,14490,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,104.88,39054,351.9,224.94,91.494,160.08,379.5,248.4,54.51,460,27600,2484,966,0,1932,0,3404
44,138,7038,11040,7866,814200,40.63333327,7176,8928.6,138,1725,86.94,1283.4,75900,59.34,56.58,51.06,12696,14490,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,104.88,39054,351.9,224.94,91.494,160.08,379.5,248.4,54.51,460,27600,2484,966,0,1932,0,3404
45,132.48,6624,7590,8970,814200,40.5375,8280,8556,138,1697.4,82.8,1269.6,62100,41.4,38.64,42.78,12696,14490,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,104.88,40020,347.76,223.56,92.046,162.84,390.54,253.92,53.958,1196,27140,2346,920,0,1840,0,3358
46,136.62,7038,12420,6624,814200,41.11250005,6168.6,9052.8,178.02,1725,89.7,1255.8,75900,45.54,51.06,46.92,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,113.16,39054,365.7,223.56,90.804,157.32,379.5,252.54,53.544,460,27600,2346,966,0,1150,0,4048
47,136.62,7038,11040,6624,814200,40.15416664,5602.8,8970,173.88,1725,89.7,1255.8,75900,45.54,51.06,46.92,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,113.16,39054,365.7,223.56,90.804,157.32,379.5,252.54,53.544,460,27600,2346,966,0,1150,0,4048
48,135.24,7038,9660,6900,814200,39.38750005,5533.8,8901,173.88,1725,89.7,1255.8,75900,45.54,51.06,46.92,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,113.16,39054,365.7,223.56,90.804,157.32,379.5,252.54,53.544,460,27600,2346,966,0,1150,0,4048
49,133.86,7038,8280,6900,814200,39.675,5561.4,8873.4,179.4,1725,89.7,1255.8,75900,45.54,51.06,46.92,12696,14490,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,113.16,39054,365.7,223.56,90.804,157.32,379.5,252.54,53.544,460,27600,2346,966,0,1150,0,4048
50,133.86,7038,8280,6900,814200,39.77083327,5561.4,8818.2,178.02,1725,89.7,1255.8,75900,45.54,51.06,46.92,12696,14490,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,104.88,39054,357.42,224.94,92.046,161.46,393.3,256.68,53.958,920,27140,2208,966,0,1288,0,3680
51,132.48,7038,8970,6900,814200,39.77083327,5616.6,8873.4,179.4,1725,89.7,1255.8,75900,45.54,51.06,46.92,12696,14490,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,104.88,39054,357.42,224.94,92.046,161.46,393.3,256.68,53.958,920,27140,2208,966,0,1288,0,3680
52,132.48,6624,9660,9108,814200,41.59166668,8418,8597.4,138,1697.4,82.8,1269.6,62100,41.4,38.64,42.78,12696,14490,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,104.88,40020,347.76,223.56,92.046,162.84,390.54,253.92,53.958,1196,27140,2346,920,0,1840,0,3358
53,132.48,6624,9660,9108,814200,37.85416673,8280,8197.2,138,1752.6,73.14,1269.6,89700,69,71.76,73.14,12696,14490,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,104.88,40020,347.76,223.56,92.046,162.84,390.54,253.92,53.958,1196,27140,2346,920,0,1840,0,3358
54,132.48,6624,8970,8556,814200,40.05833336,8556,8583.6,138,1752.6,73.14,1269.6,89700,69,71.76,73.14,12696,14490,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,104.88,40020,347.76,223.56,92.046,162.84,390.54,253.92,53.958,1196,27140,2346,920,0,1840,0,3358
55,132.48,6624,8970,8418,814200,40.82499995,8418,8321.4,138,1752.6,73.14,1269.6,89700,69,71.76,73.14,12696,14490,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,104.88,40020,347.76,223.56,92.046,162.84,390.54,253.92,53.958,1196,27140,2346,920,0,1840,0,3358
56,133.86,7038,9660,7314,814200,41.30416673,7728,8763,138,1752.6,73.14,1269.6,89700,69,71.76,73.14,12696,14490,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,103.5,40020,346.38,224.94,92.46,164.22,398.82,258.06,53.958,644,27140,2254,920,0,1242,0,4186
57,135.24,7038,10350,7314,814200,41.4,7176,8445.6,138,1752.6,73.14,1269.6,89700,69,71.76,73.14,12696,14490,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,103.5,40020,346.38,224.94,92.46,164.22,398.82,258.06,53.958,644,27140,2254,920,0,1242,0,4186
58,135.24,7038,7590,7314,814200,41.87916664,7176,8680.2,138,1752.6,73.14,1269.6,89700,69,71.76,73.14,12696,14490,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,103.5,40020,346.38,224.94,92.46,164.22,398.82,258.06,53.958,644,27140,2254,920,0,1242,0,4186
59,135.24,7038,8280,7314,814200,42.2625,7176,8473.2,138,1752.6,73.14,1269.6,89700,69,71.76,73.14,12696,14490,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,103.5,40020,346.38,224.94,92.46,164.22,398.82,258.06,53.958,644,27140,2254,920,0,1242,0,4186
60,136.62,7038,9660,7314,814200,42.45416668,7314,8707.8,138,1752.6,73.14,1269.6,89700,69,71.76,73.14,12696,14490,400.2,5520,6168.6,26358,924.6,0,138,0,-7590,103.5,40020,346.38,224.94,92.46,164.22,398.82,258.06,53.958,644,27140,2254,920,0,1242,0,4186
61,135.24,7038,11040,7314,814200,42.07083332,7314,8556,138,1752.6,73.14,1269.6,89700,69,71.76,73.14,12696,14490,400.2,5520,6168.6,26358,924.6,0,138,0,-7590,104.88,40020,346.38,223.56,93.702,168.36,411.24,259.44,53.13,368,27140,2346,966,0,1104,0,3864
62,136.62,7038,11730,7452,814200,41.01666664,7314,8611.2,138,1752.6,73.14,1269.6,89700,69,71.76,73.14,12696,14490,400.2,5520,6168.6,26358,924.6,0,138,0,-7590,104.88,40020,346.38,223.56,93.702,168.36,411.24,259.44,53.13,368,27140,2346,966,0,1104,0,3864
63,136.62,7038,8280,7314,814200,41.68749995,7176,8500.8,138,1752.6,73.14,1269.6,89700,69,71.76,73.14,12696,14490,400.2,5520,6168.6,26358,924.6,0,138,0,-7590,104.88,40020,346.38,223.56,93.702,168.36,411.24,259.44,53.13,368,27140,2346,966,0,1104,0,3864
64,136.62,7038,9660,7452,814200,41.4,7176,8721.6,138,1752.6,73.14,1269.6,89700,69,71.76,73.14,12696,14490,400.2,5520,6168.6,26358,924.6,0,138,0,-7590,104.88,40020,346.38,223.56,93.702,168.36,411.24,259.44,53.13,368,27140,2346,966,0,1104,0,3864
65,133.86,7038,8280,6624,814200,41.20833332,6182.4,8942.4,158.7,1766.4,93.84,1269.6,75900,64.86,66.24,57.96,12972,13938,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,107.64,37674,367.08,223.56,91.77,160.08,382.26,251.16,52.992,1380,26680,2484,828,0,1748,0,3772
66,133.86,7038,8280,6624,814200,40.63333327,5740.8,9025.2,158.7,1766.4,93.84,1269.6,75900,64.86,66.24,57.96,12972,13938,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,107.64,37674,367.08,223.56,91.77,160.08,382.26,251.16,52.992,1380,26680,2484,828,0,1748,0,3772
67,135.24,7038,8280,6624,814200,42.07083332,5533.8,8625,158.7,1766.4,93.84,1269.6,75900,64.86,66.24,57.96,12972,13938,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,103.5,40020,345,224.94,93.288,166.98,404.34,258.06,53.268,736,27140,2254,966,0,1104,0,3818
68,135.24,7038,8970,6624,814200,41.59166668,8873.4,9232.2,157.32,1766.4,93.84,1269.6,75900,64.86,66.24,57.96,12972,13938,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,103.5,40020,345,224.94,93.288,166.98,404.34,258.06,53.268,736,27140,2254,966,0,1104,0,3818
69,135.24,7038,8280,6624,814200,42.35833327,8914.8,8914.8,158.7,1766.4,93.84,1269.6,75900,64.86,66.24,57.96,12972,13938,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,103.5,40020,345,224.94,93.288,166.98,404.34,258.06,53.268,736,27140,2254,966,0,1104,0,3818
70,135.24,7038,8280,6624,841800,41.49583327,8293.8,9149.4,158.7,1766.4,93.84,1269.6,75900,64.86,66.24,57.96,12972,13938,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,103.5,40020,345,224.94,93.288,166.98,404.34,258.06,53.268,736,27140,2254,966,0,1104,0,3818
71,133.86,7038,8970,6624,841800,42.07083332,8293.8,8845.8,153.18,1766.4,93.84,1269.6,75900,64.86,66.24,57.96,12972,13938,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,103.5,40020,345,224.94,93.288,166.98,404.34,258.06,53.268,736,27140,2254,966,0,1104,0,3818
72,133.86,7038,9660,6624,869400,41.59166668,8252.4,8997.6,150.42,1766.4,93.84,1269.6,75900,64.86,66.24,57.96,12972,13938,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,102.12,40020,350.52,224.94,93.702,166.98,401.58,253.92,53.82,920,27140,2300,966,0,1104,0,3680
73,133.86,7038,8280,6624,869400,41.87916664,8266.2,8887.2,155.94,1752.6,71.76,1269.6,75900,69,67.62,73.14,12972,13938,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,102.12,40020,350.52,224.94,93.702,166.98,401.58,253.92,53.82,920,27140,2300,966,0,1104,0,3680
74,133.86,7038,8280,6624,841800,41.68749995,8280,8997.6,158.7,1752.6,71.76,1269.6,75900,69,67.62,73.14,12972,13938,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,102.12,40020,350.52,224.94,93.702,166.98,401.58,253.92,53.82,920,27140,2300,966,0,1104,0,3680
75,135.24,7038,8280,6624,841800,42.16666673,8321.4,8928.6,158.7,1752.6,71.76,1269.6,75900,69,67.62,73.14,12972,13938,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,102.12,40020,350.52,224.94,93.702,166.98,401.58,253.92,53.82,920,27140,2300,966,0,1104,0,3680
76,135.24,7038,10350,6624,841800,41.59166668,8183.4,9094.2,158.7,1752.6,71.76,1269.6,75900,69,67.62,73.14,12972,13938,400.2,5520,6168.6,26358,924.6,0,138,0,-7590,102.12,40020,350.52,224.94,93.702,166.98,401.58,253.92,53.82,920,27140,2300,966,0,1104,0,3680
77,135.24,7038,8280,6624,841800,42.07083332,8293.8,8845.8,155.94,1752.6,71.76,1269.6,75900,69,67.62,73.14,12972,13938,400.2,5520,6168.6,26358,924.6,0,138,0,-7590,104.88,40020,347.76,224.94,94.254,168.36,404.34,253.92,53.406,644,27140,2300,920,0,1104,0,3956
78,135.24,7038,8280,6624,841800,41.20833332,8238.6,9094.2,160.08,1752.6,71.76,1269.6,75900,69,67.62,73.14,12972,13938,400.2,5520,6168.6,26358,924.6,0,138,0,-7590,104.88,40020,347.76,224.94,94.254,168.36,404.34,253.92,53.406,644,27140,2300,920,0,1104,0,3956
79,135.24,7038,8280,6624,841800,41.78333336,8307.6,8873.4,155.94,1752.6,71.76,1269.6,75900,69,67.62,73.14,12972,13938,400.2,5520,6168.6,26358,924.6,0,138,0,-7590,104.88,40020,347.76,224.94,94.254,168.36,404.34,253.92,53.406,644,27140,2300,920,0,1104,0,3956
80,136.62,7038,11040,6624,841800,41.4,8224.8,9080.4,153.18,1752.6,71.76,1269.6,75900,69,67.62,73.14,12972,13938,400.2,5520,6168.6,26358,924.6,0,138,0,-7590,104.88,40020,347.76,224.94,94.254,168.36,404.34,253.92,53.406,644,27140,2300,920,0,1104,0,3956
81,135.24,7038,10350,6624,841800,41.68749995,8335.2,8887.2,158.7,1752.6,71.76,1269.6,75900,69,67.62,73.14,12972,13938,400.2,5520,6168.6,26358,924.6,0,138,0,-7590,104.88,40020,347.76,224.94,94.254,168.36,404.34,253.92,53.406,644,27140,2300,920,0,1104,0,3956
82,133.86,6624,9660,7452,814200,41.49583327,8252.4,8901,172.5,1752.6,71.76,1269.6,75900,69,67.62,73.14,12972,13938,400.2,5520,6168.6,26358,924.6,0,138,0,-7590,104.88,40020,347.76,224.94,92.598,162.84,396.06,256.68,54.234,1288,27140,2300,920,0,1334,0,3726
83,135.24,6624,11730,7452,814200,41.49583327,8280,8652.6,166.98,1752.6,71.76,1269.6,75900,69,67.62,73.14,12972,13938,400.2,5520,6168.6,26358,924.6,0,138,0,-7590,104.88,40020,347.76,224.94,92.598,162.84,396.06,256.68,54.234,1288,27140,2300,920,0,1334,0,3726
84,136.62,6624,11040,7452,814200,41.4,8224.8,9025.2,162.84,1752.6,71.76,1269.6,75900,69,67.62,73.14,12972,13938,400.2,5520,6168.6,26358,924.6,0,138,0,-7590,104.88,40020,347.76,224.94,92.598,162.84,396.06,256.68,54.234,1288,27140,2300,920,0,1334,0,3726
85,135.24,6624,9660,7452,814200,42.54999995,8307.6,8721.6,172.5,1697.4,71.76,1255.8,69000,48.3,46.92,51.06,12972,13938,400.2,5520,6168.6,26358,924.6,0,138,0,-7590,104.88,40020,347.76,224.94,92.598,162.84,396.06,256.68,54.234,1288,27140,2300,920,0,1334,0,3726
86,135.24,6624,11040,7452,814200,41.97500005,8211,8211,173.88,1697.4,71.76,1255.8,69000,48.3,46.92,51.06,12972,13938,400.2,5520,6168.6,26358,924.6,0,138,0,-7590,104.88,40020,347.76,224.94,92.598,162.84,396.06,256.68,54.234,1288,27140,2300,920,0,1334,0,3726
87,133.86,6624,11040,7452,814200,41.87916664,8404.2,8694,158.7,1711.2,66.24,1283.4,75900,60.72,63.48,64.86,12972,13938,400.2,5520,6168.6,26358,924.6,0,138,0,-7590,103.5,40020,349.14,223.56,92.322,162.84,394.68,256.68,54.096,460,27140,2438,966,0,1104,0,3818
88,132.48,6624,11040,7452,814200,41.59166668,8266.2,8721.6,160.08,1711.2,66.24,1283.4,75900,60.72,63.48,64.86,12972,13938,400.2,5520,6168.6,26358,924.6,0,138,0,-7590,103.5,40020,349.14,223.56,92.322,162.84,394.68,256.68,54.096,460,27140,2438,966,0,1104,0,3818
89,131.1,6624,11040,7452,814200,42.16666673,8349,8680.2,155.94,1711.2,66.24,1283.4,75900,60.72,63.48,64.86,12972,13938,400.2,5520,6141,24978,924.6,0,138,0,-7590,103.5,40020,349.14,223.56,92.322,162.84,394.68,256.68,54.096,460,27140,2438,966,0,1104,0,3818
90,131.1,6210,10350,8418,814200,41.87916664,8362.8,8376.6,151.8,1711.2,66.24,1283.4,75900,60.72,63.48,64.86,12972,13938,400.2,5520,6141,24978,924.6,0,138,0,-7590,104.88,39054,357.42,224.94,92.046,161.46,393.3,256.68,53.958,920,27140,2208,966,0,1288,0,3680
